wsif_year,school_organization_id,school_name,student_group,school_level,regular_attendance_numerator,regular_attendance_denominator,regular_attendance_rate
2017,"102,958",A G West Black Hills High School,All Students,High,2254,2632,0.856382978723404
2017,"102,498",ACES High School,All Students,High,187,677,0.276218611521418
2017,"101,835",Adna Middle/High School,All Students,Middle,914,1148,0.79616724738676
2017,"102,633",AIM High School,All Students,High,227,528,0.429924242424242
2017,"101,143",Aki Kurose Middle School,All Students,Middle,1894,2228,0.850089766606822
2017,"101,505",Albert Einstein Middle School,All Students,Middle,1994,2176,0.916360294117647
2017,"102,543",Alderwood Middle School,All Students,Middle,1973,2264,0.871466431095406
2017,"100,558",Alki Middle School,All Students,Middle,1873,2126,0.880997177798683
2017,"100,814",Almira Coulee Hartline High School,All Students,High,205,218,0.940366972477064
2017,"101,725",Alternative High School,All Students,High,252,670,0.376119402985075
2017,"100,635",Amboy Middle School,All Students,Middle,1195,1785,0.669467787114846
2017,"102,391",Anacortes High School,All Students,High,1924,2372,0.811129848229342
2017,"102,392",Anacortes Middle School,All Students,Middle,1117,1268,0.880914826498423
2017,"103,836",Angelo Giaudrone Middle School,All Students,Middle,1367,1989,0.687280040221217
2017,"102,563",Arlington High School,All Students,High,4126,4946,0.83420946219167
2017,"100,353",Asotin Jr Sr High,All Students,High,974,1113,0.875112309074573
2017,"104,893",Aspire Middle School,All Students,Middle,873,951,0.917981072555205
2017,"104,154",Auburn Mountainview High School,All Students,High,3663,4595,0.797170837867247
2017,"101,432",Auburn Riverside High School,All Students,High,3808,4907,0.776034236804565
2017,"101,417",Auburn Senior High School,All Students,High,3417,4969,0.68766351378547
2017,"102,960",Avanti High School,All Students,High,334,493,0.677484787018256
2017,"102,051",Aylen Jr High,All Students,High,1601,2037,0.785959744722631
2017,"101,690",Bainbridge High School,All Students,High,3471,3856,0.900155601659751
2017,"101,071",Ballard High School,All Students,High,4542,5261,0.86333396692644
2017,"102,056",Ballou Jr High,All Students,High,2065,2501,0.825669732107157
2017,"104,221",Bates Technical High School,All Students,High,,856,
